Cancer_Label,CI5-VIII,CI5-IX,CI5-X,CI5-XI,CI5-XII
Adrenal gland,YES,YES,YES,YES,YES
All sites,YES,YES,YES,YES,YES
Anus,YES,YES,YES,YES,YES
Bladder,YES,YES,YES,YES,YES
Bone,YES,YES,YES,YES,YES
Breast,YES,YES,YES,YES,YES
Cervix uteri,YES,YES,YES,YES,YES
Colon,YES,YES,YES,YES,YES
Connective and soft tissue,YES,YES,YES,YES,YES
Corpus uteri,YES,YES,YES,YES,YES
Eye,YES,YES,YES,YES,YES
Hodgkin disease,YES,YES,YES,YES,YES
Hypopharynx,YES,YES,YES,YES,YES
Immunoproliferative diseases,YES,YES,YES,YES,YES
Kaposi sarcoma,YES,YES,YES,YES,YES
Kidney,YES,YES,YES,YES,YES
Larynx,YES,YES,YES,YES,YES
Lip,YES,YES,YES,YES,YES
Liver,YES,YES,YES,YES,YES
Lymphoid leukaemia,YES,YES,YES,YES,YES
Melanoma of skin,YES,YES,YES,YES,YES
Mesothelioma,YES,YES,YES,YES,YES
Mouth,YES,YES,YES,YES,YES
Multiple myeloma,YES,YES,YES,YES,YES
Myeloid leukaemia,YES,YES,YES,YES,YES
Nasopharynx,YES,YES,YES,YES,YES
Oesophagus,YES,YES,YES,YES,YES
Other endocrine,YES,YES,YES,YES,YES
Other female genital organs,YES,YES,YES,YES,YES
Other male genital organs,YES,YES,YES,YES,YES
Other skin,YES,YES,YES,YES,YES
Other urinary organs,YES,YES,YES,YES,YES
Ovary,YES,YES,YES,YES,YES
Pancreas,YES,YES,YES,YES,YES
Penis,YES,YES,YES,YES,YES
Pharynx unspecified,YES,YES,YES,YES,YES
Placenta,YES,YES,YES,YES,YES
Prostate,YES,YES,YES,YES,YES
Rectum,YES,YES,YES,YES,YES
Renal pelvis,YES,YES,YES,YES,YES
Salivary glands,YES,YES,YES,YES,YES
Small intestine,YES,YES,YES,YES,YES
Stomach,YES,YES,YES,YES,YES
Testis,YES,YES,YES,YES,YES
Thyroid,YES,YES,YES,YES,YES
Tongue,YES,YES,YES,YES,YES
Tonsil,YES,YES,YES,YES,YES
Ureter,YES,YES,YES,YES,YES
Uterus unspecified,YES,YES,YES,YES,YES
Vagina,YES,YES,YES,YES,YES
Vulva,YES,YES,YES,YES,YES
