Cancer_Label,CI5-VIII,CI5-IX,CI5-X,CI5-XI,CI5-XII
Accessory sinuses,YES,YES,YES,,
Acute (C91.0),,YES,YES,,
"Acute (C92.0, C93.0, C94.0,C94.2,C94.4-5)",,YES,YES,,
Acute (C95.0),,YES,YES,,
"Acute leukaemia, cell unspecified",YES,,,,
Acute lymphoid leukaemia,YES,,,,
Acute myeloid leukaemia,YES,,,,
Adenocarcinoma,,YES,YES,,
Adrenal gland,YES,YES,YES,YES,YES
All sites,YES,YES,YES,YES,YES
All sites but skin,,,,YES,YES
All sites but skin (C00-96 but C44),,YES,YES,,
Anaplastic carcinoma,,YES,YES,,
Anus,YES,YES,YES,YES,YES
Astrocytic tumours,,YES,YES,,
Base of tongue,,YES,YES,,
Bladder,YES,YES,YES,YES,YES
Body (C16.2),,YES,YES,,
Bone,YES,YES,YES,YES,YES
Bone of limbs,YES,YES,YES,,
Brain,YES,YES,YES,,
"Brain, central nervous system",YES,,,,
"Brain, nervous system",,,,YES,YES
Breast,YES,YES,YES,YES,YES
Burkitt lymphoma,YES,,,,
Burkitt lymphoma (C83.7),,YES,YES,,
Cardia (C16.0),,YES,YES,,
Central nervous system,,YES,YES,,
Cervix uteri,YES,YES,YES,YES,YES
Cholangiocarcinoma,,YES,YES,,
Chondrosarcoma,,YES,YES,,
Chronic (C91.1),,YES,YES,,
"Chronic (C92.1, C93.1, C94.1)",,YES,YES,,
Chronic (C95.1),,YES,YES,,
"Chronic leukaemia, cell unspecified",YES,,,,
Chronic lymphoid leukaemia,YES,,,,
Chronic myeloid leukaemia,YES,,,,
Classical lymphocyte-rich,,YES,YES,,
Clear cell carcinoma,,YES,YES,,
Colon,YES,YES,YES,YES,YES
"Colon, descending",YES,,,,
"Colon, other and unspecified parts",YES,,,,
"Colon, right",YES,,,,
"Colon, sigmoid",YES,,,,
"Colon, transverse and flexures",YES,,,,
Connective and soft tissue,YES,YES,YES,YES,YES
Corpus uteri,YES,YES,YES,YES,YES
Cranial nerves,YES,,,,
Cranial nerves (C72.2-5),,YES,YES,,
Descending (C18.6),,YES,YES,,
Digestive organs,YES,YES,YES,,
Endometrioid carcinoma,,YES,YES,,
Ependymal tumours,,YES,YES,,
Ewing sarcoma,YES,YES,YES,,
Eye,YES,YES,YES,YES,YES
"Eye, brain and central nervous system",YES,YES,YES,,
Fallopian tube,YES,,,,
Fallopian tube (C57.0),,YES,YES,,
Female genital organs,YES,YES,YES,,
Follicular carcinoma,,YES,YES,,
Fundus (C16.1),,YES,YES,,
Gallbladder,YES,YES,YES,,
Gallbladder etc.,,,,YES,YES
Germ cell tumour,,YES,YES,,
Gliomas of uncertain origin,,YES,YES,,
Haemagiosarcoma,,YES,YES,,
Head (C43.0-4),,YES,YES,,
"Heart, mediastinum and pleura",YES,YES,YES,,
Hepatoblastoma,,YES,YES,,
Hepatocellular carcinoma,,YES,YES,,
Hodgkin disease,YES,YES,YES,YES,YES
"Hodgkin disease, lymphocytic depletion",YES,,,,
"Hodgkin disease, lymphocytic predominance",YES,,,,
"Hodgkin disease, mixed cellularity",YES,,,,
"Hodgkin disease, nodular sclerosis",YES,,,,
"Hodgkin disease, other and unspecified",YES,,,,
Hypopharynx,YES,YES,YES,YES,YES
Immunoproliferative diseases,YES,YES,YES,YES,YES
Kaposi sarcoma,YES,YES,YES,YES,YES
Kidney,YES,YES,YES,YES,YES
Large cell carcinoma,,YES,YES,,
Larynx,YES,YES,YES,YES,YES
Leukaemia,YES,YES,YES,,
Leukaemia unspecified,,,,YES,YES
"Leukaemia, cell unspecified",YES,YES,YES,,
Lip,YES,YES,YES,YES,YES
Liver,YES,YES,YES,YES,YES
Lower limb (C43.7),,YES,YES,,
"Lower third (C15.2,5)",,YES,YES,,
Lung,YES,YES,YES,,
Lung (incl. trachea and bronchus),,,,YES,YES
Lymphocytic depletion,,YES,YES,,
Lymphoid and haematopoietic tissues,YES,,,,
Lymphoid leukaemia,YES,YES,YES,YES,YES
Lymphoid tissues,,YES,YES,,
Male genital organs,YES,YES,YES,,
Medullary carcinoma,,YES,YES,,
Medulloblastoma,,YES,YES,,
Melanoma,,YES,YES,,
Melanoma of skin,YES,YES,YES,YES,YES
"Melanoma of skin, head",YES,,,,
"Melanoma of skin, lower limb",YES,,,,
"Melanoma of skin, other and unspecified",YES,,,,
"Melanoma of skin, trunk",YES,,,,
"Melanoma of skin, upper limb",YES,,,,
Meninges,YES,YES,YES,,
Mesothelial and soft tissues,YES,YES,YES,,
Mesothelioma,YES,YES,YES,YES,YES
"Middle third (C15.1,4)",,YES,YES,,
Mixed cellularity,,YES,YES,,
Mouth,YES,YES,YES,YES,YES
"Mouth, floor of",YES,YES,YES,,
"Mouth, gum",YES,YES,YES,,
"Mouth, other and unspecified parts",YES,YES,YES,,
"Mouth, palate",YES,YES,YES,,
Mucinous carcinoma,,YES,YES,,
Multiple myeloma,YES,YES,YES,YES,YES
Mycosis fungoides,YES,,,,
Mycosis fungoides (C84.0),,YES,YES,,
Myelodysplastic syndromes,,YES,YES,YES,YES
Myeloid leukaemia,YES,YES,YES,YES,YES
Myeloproliferative disorders,,YES,YES,YES,YES
Nasal cavity and middle ear,YES,YES,YES,,
Nasopharynx,YES,YES,YES,YES,YES
"Nervous system, NOS",YES,,,,
"Nervous system, NOS (C72.8-9)",,YES,YES,,
Nodular lymphocytic predominance,,YES,YES,,
Nodular sclerosis,,YES,YES,,
Non-Hodgkin lymphoma,YES,,,YES,YES
"Non-Hodgkin lymphoma (C82-85,C96)",,YES,YES,,
"Non-Hodgkin lymphoma, other and unspecified",YES,,,,
Non-seminomatous germ cell tumours,,YES,YES,,
"Nose, sinuses etc.",,,,YES,YES
Oesophagus,YES,YES,YES,YES,YES
"Oesophagus, lower third",YES,,,,
"Oesophagus, middle third",YES,,,,
"Oesophagus, other and unspecified parts",YES,,,,
"Oesophagus, upper third",YES,,,,
Oligodendroglial tumours and mixed gliomas,,YES,YES,,
Oral cavity and pharynx,YES,YES,YES,,
Oropharynx,YES,YES,YES,,
Osteosarcoma,,YES,YES,,
"Other (C92.2-7, C93.2-7,C94.3,C94.7)",,YES,YES,,
Other (C95.2-7),,YES,YES,,
Other and ill-defined digestive organs,YES,YES,YES,,
Other and unspecified,YES,,,YES,YES
Other and unspecified (C43.8-9),,YES,YES,,
Other and unspecified cancers,,YES,YES,,
Other and unspecified female genital organs (C57.1-9),,YES,YES,,
Other and unspecified non-Hodgkin lymphoma,,YES,YES,,
Other and unspecified parts (C15.8-9),,YES,YES,,
Other and unspecified parts (C16.5-9),,YES,YES,,
Other and unspecified parts (C18.8-9),,YES,YES,,
Other and unspecified parts of biliary tract,YES,YES,YES,,
Other and unspecified respiratory and intrathoracic organs,YES,YES,YES,,
Other bones,YES,YES,YES,,
Other embryonal tumours,,YES,YES,,
