Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,1,All sites,52,837385,6.2098
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,1,All sites,53,846900,6.2581
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,1,All sites,70,946070,7.399
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,1,All sites,79,950555,8.3109
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,1,All sites,117,1059265,11.0454
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,1,All sites,127,954795,13.3013
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,1,All sites,181,813295,22.2551
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,1,All sites,215,689670,31.1743
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,1,All sites,367,589150,62.2931
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,1,All sites,431,463275,93.0333
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,1,All sites,621,379430,163.6666
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,1,All sites,558,247215,225.7145
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,1,All sites,722,205510,351.3211
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,1,All sites,682,147085,463.6775
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,1,All sites,575,104545,550.0024
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,1,All sites,392,54630,717.5545
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,1,All sites,208,53160,391.2716
IX,1998-2002,2000,Pune (Poona),Male,85+,18,1,All sites,154,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,2,All sites but skin (C00-96 but C44),52,837385,6.2098
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,2,All sites but skin (C00-96 but C44),53,846900,6.2581
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,2,All sites but skin (C00-96 but C44),68,946070,7.1876
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,2,All sites but skin (C00-96 but C44),79,950555,8.3109
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,2,All sites but skin (C00-96 but C44),112,1059265,10.5734
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,2,All sites but skin (C00-96 but C44),125,954795,13.0918
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,2,All sites but skin (C00-96 but C44),177,813295,21.7633
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,2,All sites but skin (C00-96 but C44),211,689670,30.5943
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,2,All sites but skin (C00-96 but C44),363,589150,61.6142
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,2,All sites but skin (C00-96 but C44),424,463275,91.5223
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,2,All sites but skin (C00-96 but C44),613,379430,161.5581
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,2,All sites but skin (C00-96 but C44),547,247215,221.2649
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,2,All sites but skin (C00-96 but C44),716,205510,348.4015
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,2,All sites but skin (C00-96 but C44),676,147085,459.5982
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,2,All sites but skin (C00-96 but C44),561,104545,536.611
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,2,All sites but skin (C00-96 but C44),379,54630,693.758
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,2,All sites but skin (C00-96 but C44),205,53160,385.6283
IX,1998-2002,2000,Pune (Poona),Male,85+,18,2,All sites but skin (C00-96 but C44),146,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,3,Oral cavity and pharynx,1,837385,0.1194
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,3,Oral cavity and pharynx,2,846900,0.2362
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,3,Oral cavity and pharynx,1,946070,0.1057
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,3,Oral cavity and pharynx,5,950555,0.526
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,3,Oral cavity and pharynx,10,1059265,0.9441
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,3,Oral cavity and pharynx,8,954795,0.8379
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,3,Oral cavity and pharynx,28,813295,3.4428
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,3,Oral cavity and pharynx,41,689670,5.9449
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,3,Oral cavity and pharynx,101,589150,17.1433
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,3,Oral cavity and pharynx,117,463275,25.255
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,3,Oral cavity and pharynx,150,379430,39.533
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,3,Oral cavity and pharynx,126,247215,50.9678
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,3,Oral cavity and pharynx,149,205510,72.5026
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,3,Oral cavity and pharynx,106,147085,72.0672
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,3,Oral cavity and pharynx,82,104545,78.4351
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,3,Oral cavity and pharynx,41,54630,75.0503
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,3,Oral cavity and pharynx,18,53160,33.86
IX,1998-2002,2000,Pune (Poona),Male,85+,18,3,Oral cavity and pharynx,17,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,4,Lip,0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,4,Lip,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,4,Lip,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,4,Lip,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,4,Lip,0,1059265,0.0
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,4,Lip,0,954795,0.0
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,4,Lip,0,813295,0.0
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,4,Lip,0,689670,0.0
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,4,Lip,4,589150,0.6789
IX,1998-2002,2000,Pune (Poona),Male,45-49,10,4,Lip,5,463275,1.0793
IX,1998-2002,2000,Pune (Poona),Male,50-54,11,4,Lip,10,379430,2.6355
IX,1998-2002,2000,Pune (Poona),Male,55-59,12,4,Lip,5,247215,2.0225
IX,1998-2002,2000,Pune (Poona),Male,60-64,13,4,Lip,2,205510,0.9732
IX,1998-2002,2000,Pune (Poona),Male,65-69,14,4,Lip,6,147085,4.0793
IX,1998-2002,2000,Pune (Poona),Male,70-74,15,4,Lip,2,104545,1.9131
IX,1998-2002,2000,Pune (Poona),Male,75-79,16,4,Lip,2,54630,3.661
IX,1998-2002,2000,Pune (Poona),Male,80-84,17,4,Lip,1,53160,1.8811
IX,1998-2002,2000,Pune (Poona),Male,85+,18,4,Lip,1,0,
IX,1998-2002,2000,Pune (Poona),Male,0-4,1,5,Tongue,0,837385,0.0
IX,1998-2002,2000,Pune (Poona),Male,5-9,2,5,Tongue,0,846900,0.0
IX,1998-2002,2000,Pune (Poona),Male,10-14,3,5,Tongue,0,946070,0.0
IX,1998-2002,2000,Pune (Poona),Male,15-19,4,5,Tongue,0,950555,0.0
IX,1998-2002,2000,Pune (Poona),Male,20-24,5,5,Tongue,3,1059265,0.2832
IX,1998-2002,2000,Pune (Poona),Male,25-29,6,5,Tongue,3,954795,0.3142
IX,1998-2002,2000,Pune (Poona),Male,30-34,7,5,Tongue,8,813295,0.9837
IX,1998-2002,2000,Pune (Poona),Male,35-39,8,5,Tongue,3,689670,0.435
IX,1998-2002,2000,Pune (Poona),Male,40-44,9,5,Tongue,22,589150,3.7342
