Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
VIII,1993-1997,1995,Pune (Poona),Male,0-4,1,1,All sites,55,654595,8.4021
VIII,1993-1997,1995,Pune (Poona),Male,5-9,2,1,All sites,56,797660,7.0205
VIII,1993-1997,1995,Pune (Poona),Male,10-14,3,1,All sites,51,615965,8.2797
VIII,1993-1997,1995,Pune (Poona),Male,15-19,4,1,All sites,66,665315,9.9201
VIII,1993-1997,1995,Pune (Poona),Male,20-24,5,1,All sites,103,721845,14.269
VIII,1993-1997,1995,Pune (Poona),Male,25-29,6,1,All sites,105,658605,15.9428
VIII,1993-1997,1995,Pune (Poona),Male,30-34,7,1,All sites,149,603600,24.6852
VIII,1993-1997,1995,Pune (Poona),Male,35-39,8,1,All sites,184,576945,31.8921
VIII,1993-1997,1995,Pune (Poona),Male,40-44,9,1,All sites,293,483375,60.6155
VIII,1993-1997,1995,Pune (Poona),Male,45-49,10,1,All sites,332,355980,93.2637
VIII,1993-1997,1995,Pune (Poona),Male,50-54,11,1,All sites,475,243975,194.6921
VIII,1993-1997,1995,Pune (Poona),Male,55-59,12,1,All sites,488,145090,336.343
VIII,1993-1997,1995,Pune (Poona),Male,60-64,13,1,All sites,580,160220,362.0022
VIII,1993-1997,1995,Pune (Poona),Male,65-69,14,1,All sites,470,86120,545.7501
VIII,1993-1997,1995,Pune (Poona),Male,70-74,15,1,All sites,481,67385,713.8087
VIII,1993-1997,1995,Pune (Poona),Male,75-79,16,1,All sites,258,29310,880.2456
VIII,1993-1997,1995,Pune (Poona),Male,80-84,17,1,All sites,172,34520,498.2619
VIII,1993-1997,1995,Pune (Poona),Male,85+,18,1,All sites,98,0,
VIII,1993-1997,1995,Pune (Poona),Male,0-4,1,2,but C44 All sites but skin,54,654595,8.2494
VIII,1993-1997,1995,Pune (Poona),Male,5-9,2,2,but C44 All sites but skin,56,797660,7.0205
VIII,1993-1997,1995,Pune (Poona),Male,10-14,3,2,but C44 All sites but skin,51,615965,8.2797
VIII,1993-1997,1995,Pune (Poona),Male,15-19,4,2,but C44 All sites but skin,66,665315,9.9201
VIII,1993-1997,1995,Pune (Poona),Male,20-24,5,2,but C44 All sites but skin,102,721845,14.1305
VIII,1993-1997,1995,Pune (Poona),Male,25-29,6,2,but C44 All sites but skin,104,658605,15.791
VIII,1993-1997,1995,Pune (Poona),Male,30-34,7,2,but C44 All sites but skin,143,603600,23.6912
VIII,1993-1997,1995,Pune (Poona),Male,35-39,8,2,but C44 All sites but skin,183,576945,31.7188
VIII,1993-1997,1995,Pune (Poona),Male,40-44,9,2,but C44 All sites but skin,289,483375,59.7879
VIII,1993-1997,1995,Pune (Poona),Male,45-49,10,2,but C44 All sites but skin,322,355980,90.4545
VIII,1993-1997,1995,Pune (Poona),Male,50-54,11,2,but C44 All sites but skin,466,243975,191.0032
VIII,1993-1997,1995,Pune (Poona),Male,55-59,12,2,but C44 All sites but skin,486,145090,334.9645
