Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,1,Lip,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,1,Lip,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,1,Lip,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,1,Lip,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,1,Lip,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,1,Lip,0,1790878,0.0
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,1,Lip,0,1506026,0.0
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,1,Lip,4,1224909,0.3266
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,1,Lip,2,964181,0.2074
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,1,Lip,8,760050,1.0526
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,1,Lip,5,641815,0.779
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,1,Lip,7,536567,1.3046
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,1,Lip,7,456396,1.5338
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,1,Lip,7,299347,2.3384
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,1,Lip,4,197559,2.0247
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,1,Lip,1,237704,0.4207
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,1,Lip,3,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,1,Lip,1,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,2,Tongue,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,2,Tongue,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,2,Tongue,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,2,Tongue,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,2,Tongue,1,1686156,0.0593
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,2,Tongue,8,1790878,0.4467
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,2,Tongue,28,1506026,1.8592
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,2,Tongue,59,1224909,4.8167
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,2,Tongue,86,964181,8.9195
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,2,Tongue,89,760050,11.7098
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,2,Tongue,71,641815,11.0624
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,2,Tongue,67,536567,12.4868
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,2,Tongue,56,456396,12.27
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,2,Tongue,46,299347,15.3668
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,2,Tongue,30,197559,15.1853
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,2,Tongue,20,237704,8.4138
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,2,Tongue,11,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,2,Tongue,6,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,3,Mouth,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,3,Mouth,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,3,Mouth,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,3,Mouth,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,3,Mouth,1,1686156,0.0593
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,3,Mouth,15,1790878,0.8376
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,3,Mouth,36,1506026,2.3904
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,3,Mouth,112,1224909,9.1435
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,3,Mouth,110,964181,11.4086
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,3,Mouth,132,760050,17.3673
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,3,Mouth,111,641815,17.2947
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,3,Mouth,160,536567,29.8192
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,3,Mouth,140,456396,30.6751
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,3,Mouth,136,299347,45.4322
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,3,Mouth,65,197559,32.9016
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,3,Mouth,39,237704,16.407
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,3,Mouth,20,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,3,Mouth,18,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,4,Salivary glands,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,4,Salivary glands,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,4,Salivary glands,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,4,Salivary glands,1,1142065,0.0876
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,4,Salivary glands,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,4,Salivary glands,1,1790878,0.0558
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,4,Salivary glands,4,1506026,0.2656
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,4,Salivary glands,3,1224909,0.2449
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,4,Salivary glands,2,964181,0.2074
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,4,Salivary glands,3,760050,0.3947
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,4,Salivary glands,7,641815,1.0907
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,4,Salivary glands,13,536567,2.4228
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,4,Salivary glands,2,456396,0.4382
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,4,Salivary glands,5,299347,1.6703
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,4,Salivary glands,3,197559,1.5185
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,4,Salivary glands,5,237704,2.1035
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,4,Salivary glands,2,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,4,Salivary glands,2,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,5,Tonsil,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,5,Tonsil,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,5,Tonsil,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,5,Tonsil,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,5,Tonsil,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,5,Tonsil,2,1790878,0.1117
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,5,Tonsil,0,1506026,0.0
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,5,Tonsil,2,1224909,0.1633
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,5,Tonsil,2,964181,0.2074
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,5,Tonsil,1,760050,0.1316
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,5,Tonsil,0,641815,0.0
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,5,Tonsil,9,536567,1.6773
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,5,Tonsil,4,456396,0.8764
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,5,Tonsil,5,299347,1.6703
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,5,Tonsil,5,197559,2.5309
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,5,Tonsil,0,237704,0.0
XII,2013-2017,2015,Pune (Poona),Male,80-84,17,5,Tonsil,2,0,
XII,2013-2017,2015,Pune (Poona),Male,85+,18,5,Tonsil,2,0,
XII,2013-2017,2015,Pune (Poona),Male,0-4,1,6,Other oropharynx,0,1197333,0.0
XII,2013-2017,2015,Pune (Poona),Male,5-9,2,6,Other oropharynx,0,1112778,0.0
XII,2013-2017,2015,Pune (Poona),Male,10-14,3,6,Other oropharynx,0,1031264,0.0
XII,2013-2017,2015,Pune (Poona),Male,15-19,4,6,Other oropharynx,0,1142065,0.0
XII,2013-2017,2015,Pune (Poona),Male,20-24,5,6,Other oropharynx,0,1686156,0.0
XII,2013-2017,2015,Pune (Poona),Male,25-29,6,6,Other oropharynx,1,1790878,0.0558
XII,2013-2017,2015,Pune (Poona),Male,30-34,7,6,Other oropharynx,1,1506026,0.0664
XII,2013-2017,2015,Pune (Poona),Male,35-39,8,6,Other oropharynx,1,1224909,0.0816
XII,2013-2017,2015,Pune (Poona),Male,40-44,9,6,Other oropharynx,3,964181,0.3111
XII,2013-2017,2015,Pune (Poona),Male,45-49,10,6,Other oropharynx,2,760050,0.2631
XII,2013-2017,2015,Pune (Poona),Male,50-54,11,6,Other oropharynx,11,641815,1.7139
XII,2013-2017,2015,Pune (Poona),Male,55-59,12,6,Other oropharynx,15,536567,2.7956
XII,2013-2017,2015,Pune (Poona),Male,60-64,13,6,Other oropharynx,18,456396,3.9439
XII,2013-2017,2015,Pune (Poona),Male,65-69,14,6,Other oropharynx,7,299347,2.3384
XII,2013-2017,2015,Pune (Poona),Male,70-74,15,6,Other oropharynx,12,197559,6.0741
XII,2013-2017,2015,Pune (Poona),Male,75-79,16,6,Other oropharynx,4,237704,1.6828
