Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,1,Lip,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,1,Lip,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,1,Lip,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,1,Lip,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,1,Lip,0,1437551,0.0
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,1,Lip,0,1271128,0.0
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,1,Lip,0,1026110,0.0
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,1,Lip,2,810974,0.2466
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,1,Lip,1,720791,0.1387
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,1,Lip,4,596503,0.6706
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,1,Lip,4,537176,0.7446
XI,2008-2011,2010,Pune (Poona),Male,55-59,12,1,Lip,3,345999,0.8671
XI,2008-2011,2010,Pune (Poona),Male,60-64,13,1,Lip,5,243451,2.0538
XI,2008-2011,2010,Pune (Poona),Male,65-69,14,1,Lip,3,210311,1.4265
XI,2008-2011,2010,Pune (Poona),Male,70-74,15,1,Lip,2,131185,1.5246
XI,2008-2011,2010,Pune (Poona),Male,75-79,16,1,Lip,1,172552,0.5795
XI,2008-2011,2010,Pune (Poona),Male,80-84,17,1,Lip,1,0,
XI,2008-2011,2010,Pune (Poona),Male,85+,18,1,Lip,0,0,
XI,2008-2011,2010,Pune (Poona),Male,0-4,1,2,Tongue,0,998887,0.0
XI,2008-2011,2010,Pune (Poona),Male,5-9,2,2,Tongue,0,807911,0.0
XI,2008-2011,2010,Pune (Poona),Male,10-14,3,2,Tongue,0,1245851,0.0
XI,2008-2011,2010,Pune (Poona),Male,15-19,4,2,Tongue,0,1270231,0.0
XI,2008-2011,2010,Pune (Poona),Male,20-24,5,2,Tongue,2,1437551,0.1391
XI,2008-2011,2010,Pune (Poona),Male,25-29,6,2,Tongue,8,1271128,0.6294
XI,2008-2011,2010,Pune (Poona),Male,30-34,7,2,Tongue,24,1026110,2.3389
XI,2008-2011,2010,Pune (Poona),Male,35-39,8,2,Tongue,32,810974,3.9459
XI,2008-2011,2010,Pune (Poona),Male,40-44,9,2,Tongue,45,720791,6.2431
XI,2008-2011,2010,Pune (Poona),Male,45-49,10,2,Tongue,25,596503,4.1911
XI,2008-2011,2010,Pune (Poona),Male,50-54,11,2,Tongue,29,537176,5.3986
