Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
X,2003-2007,2005,Pune (Poona),Male,0-4,1,1,All sites,54,951909,5.6728
X,2003-2007,2005,Pune (Poona),Male,5-9,2,1,All sites,50,912393,5.4801
X,2003-2007,2005,Pune (Poona),Male,10-14,3,1,All sites,59,1103733,5.3455
X,2003-2007,2005,Pune (Poona),Male,15-19,4,1,All sites,69,1124183,6.1378
X,2003-2007,2005,Pune (Poona),Male,20-24,5,1,All sites,83,1258508,6.5951
X,2003-2007,2005,Pune (Poona),Male,25-29,6,1,All sites,125,1130162,11.0604
X,2003-2007,2005,Pune (Poona),Male,30-34,7,1,All sites,183,953709,19.1882
X,2003-2007,2005,Pune (Poona),Male,35-39,8,1,All sites,275,799027,34.4169
X,2003-2007,2005,Pune (Poona),Male,40-44,9,1,All sites,324,690338,46.9335
X,2003-2007,2005,Pune (Poona),Male,45-49,10,1,All sites,392,548984,71.4046
X,2003-2007,2005,Pune (Poona),Male,50-54,11,1,All sites,623,458670,135.8275
X,2003-2007,2005,Pune (Poona),Male,55-59,12,1,All sites,649,295689,219.4874
X,2003-2007,2005,Pune (Poona),Male,60-64,13,1,All sites,759,236778,320.5534
X,2003-2007,2005,Pune (Poona),Male,65-69,14,1,All sites,804,178871,449.4859
X,2003-2007,2005,Pune (Poona),Male,70-74,15,1,All sites,699,125967,554.9072
X,2003-2007,2005,Pune (Poona),Male,75-79,16,1,All sites,487,130948,371.9034
X,2003-2007,2005,Pune (Poona),Male,80-84,17,1,All sites,303,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,1,All sites,280,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,2,All sites but skin (C00-96 but C44),54,951909,5.6728
X,2003-2007,2005,Pune (Poona),Male,5-9,2,2,All sites but skin (C00-96 but C44),50,912393,5.4801
X,2003-2007,2005,Pune (Poona),Male,10-14,3,2,All sites but skin (C00-96 but C44),59,1103733,5.3455
X,2003-2007,2005,Pune (Poona),Male,15-19,4,2,All sites but skin (C00-96 but C44),69,1124183,6.1378
X,2003-2007,2005,Pune (Poona),Male,20-24,5,2,All sites but skin (C00-96 but C44),81,1258508,6.4362
X,2003-2007,2005,Pune (Poona),Male,25-29,6,2,All sites but skin (C00-96 but C44),125,1130162,11.0604
X,2003-2007,2005,Pune (Poona),Male,30-34,7,2,All sites but skin (C00-96 but C44),183,953709,19.1882
X,2003-2007,2005,Pune (Poona),Male,35-39,8,2,All sites but skin (C00-96 but C44),270,799027,33.7911
X,2003-2007,2005,Pune (Poona),Male,40-44,9,2,All sites but skin (C00-96 but C44),322,690338,46.6438
X,2003-2007,2005,Pune (Poona),Male,45-49,10,2,All sites but skin (C00-96 but C44),387,548984,70.4939
X,2003-2007,2005,Pune (Poona),Male,50-54,11,2,All sites but skin (C00-96 but C44),615,458670,134.0833
X,2003-2007,2005,Pune (Poona),Male,55-59,12,2,All sites but skin (C00-96 but C44),643,295689,217.4582
X,2003-2007,2005,Pune (Poona),Male,60-64,13,2,All sites but skin (C00-96 but C44),748,236778,315.9077
X,2003-2007,2005,Pune (Poona),Male,65-69,14,2,All sites but skin (C00-96 but C44),793,178871,443.3363
X,2003-2007,2005,Pune (Poona),Male,70-74,15,2,All sites but skin (C00-96 but C44),696,125967,552.5257
X,2003-2007,2005,Pune (Poona),Male,75-79,16,2,All sites but skin (C00-96 but C44),481,130948,367.3214
X,2003-2007,2005,Pune (Poona),Male,80-84,17,2,All sites but skin (C00-96 but C44),300,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,2,All sites but skin (C00-96 but C44),276,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,3,Oral cavity and pharynx,0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,3,Oral cavity and pharynx,4,912393,0.4384
X,2003-2007,2005,Pune (Poona),Male,10-14,3,3,Oral cavity and pharynx,4,1103733,0.3624
X,2003-2007,2005,Pune (Poona),Male,15-19,4,3,Oral cavity and pharynx,5,1124183,0.4448
X,2003-2007,2005,Pune (Poona),Male,20-24,5,3,Oral cavity and pharynx,9,1258508,0.7151
X,2003-2007,2005,Pune (Poona),Male,25-29,6,3,Oral cavity and pharynx,15,1130162,1.3272
X,2003-2007,2005,Pune (Poona),Male,30-34,7,3,Oral cavity and pharynx,42,953709,4.4039
X,2003-2007,2005,Pune (Poona),Male,35-39,8,3,Oral cavity and pharynx,44,799027,5.5067
X,2003-2007,2005,Pune (Poona),Male,40-44,9,3,Oral cavity and pharynx,94,690338,13.6165
X,2003-2007,2005,Pune (Poona),Male,45-49,10,3,Oral cavity and pharynx,94,548984,17.1225
X,2003-2007,2005,Pune (Poona),Male,50-54,11,3,Oral cavity and pharynx,169,458670,36.8457
X,2003-2007,2005,Pune (Poona),Male,55-59,12,3,Oral cavity and pharynx,164,295689,55.4637
X,2003-2007,2005,Pune (Poona),Male,60-64,13,3,Oral cavity and pharynx,155,236778,65.4622
X,2003-2007,2005,Pune (Poona),Male,65-69,14,3,Oral cavity and pharynx,132,178871,73.7962
X,2003-2007,2005,Pune (Poona),Male,70-74,15,3,Oral cavity and pharynx,93,125967,73.8289
X,2003-2007,2005,Pune (Poona),Male,75-79,16,3,Oral cavity and pharynx,48,130948,36.6558
X,2003-2007,2005,Pune (Poona),Male,80-84,17,3,Oral cavity and pharynx,25,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,3,Oral cavity and pharynx,28,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,4,Lip,0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,4,Lip,0,912393,0.0
X,2003-2007,2005,Pune (Poona),Male,10-14,3,4,Lip,0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,4,Lip,0,1124183,0.0
X,2003-2007,2005,Pune (Poona),Male,20-24,5,4,Lip,0,1258508,0.0
X,2003-2007,2005,Pune (Poona),Male,25-29,6,4,Lip,0,1130162,0.0
X,2003-2007,2005,Pune (Poona),Male,30-34,7,4,Lip,0,953709,0.0
X,2003-2007,2005,Pune (Poona),Male,35-39,8,4,Lip,0,799027,0.0
X,2003-2007,2005,Pune (Poona),Male,40-44,9,4,Lip,1,690338,0.1449
X,2003-2007,2005,Pune (Poona),Male,45-49,10,4,Lip,3,548984,0.5465
X,2003-2007,2005,Pune (Poona),Male,50-54,11,4,Lip,2,458670,0.436
X,2003-2007,2005,Pune (Poona),Male,55-59,12,4,Lip,5,295689,1.691
X,2003-2007,2005,Pune (Poona),Male,60-64,13,4,Lip,8,236778,3.3787
X,2003-2007,2005,Pune (Poona),Male,65-69,14,4,Lip,5,178871,2.7953
X,2003-2007,2005,Pune (Poona),Male,70-74,15,4,Lip,7,125967,5.557
X,2003-2007,2005,Pune (Poona),Male,75-79,16,4,Lip,0,130948,0.0
X,2003-2007,2005,Pune (Poona),Male,80-84,17,4,Lip,0,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,4,Lip,2,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,5,Tongue,0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,5,Tongue,1,912393,0.1096
X,2003-2007,2005,Pune (Poona),Male,10-14,3,5,Tongue,0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,5,Tongue,1,1124183,0.089
X,2003-2007,2005,Pune (Poona),Male,20-24,5,5,Tongue,2,1258508,0.1589
X,2003-2007,2005,Pune (Poona),Male,25-29,6,5,Tongue,9,1130162,0.7963
X,2003-2007,2005,Pune (Poona),Male,30-34,7,5,Tongue,19,953709,1.9922
X,2003-2007,2005,Pune (Poona),Male,35-39,8,5,Tongue,15,799027,1.8773
X,2003-2007,2005,Pune (Poona),Male,40-44,9,5,Tongue,18,690338,2.6074
X,2003-2007,2005,Pune (Poona),Male,45-49,10,5,Tongue,23,548984,4.1896
X,2003-2007,2005,Pune (Poona),Male,50-54,11,5,Tongue,31,458670,6.7587
X,2003-2007,2005,Pune (Poona),Male,55-59,12,5,Tongue,35,295689,11.8368
X,2003-2007,2005,Pune (Poona),Male,60-64,13,5,Tongue,30,236778,12.6701
X,2003-2007,2005,Pune (Poona),Male,65-69,14,5,Tongue,26,178871,14.5356
X,2003-2007,2005,Pune (Poona),Male,70-74,15,5,Tongue,14,125967,11.114
X,2003-2007,2005,Pune (Poona),Male,75-79,16,5,Tongue,6,130948,4.582
X,2003-2007,2005,Pune (Poona),Male,80-84,17,5,Tongue,6,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,5,Tongue,5,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,6,Base of tongue,0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,6,Base of tongue,0,912393,0.0
X,2003-2007,2005,Pune (Poona),Male,10-14,3,6,Base of tongue,0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,6,Base of tongue,0,1124183,0.0
X,2003-2007,2005,Pune (Poona),Male,20-24,5,6,Base of tongue,0,1258508,0.0
X,2003-2007,2005,Pune (Poona),Male,25-29,6,6,Base of tongue,0,1130162,0.0
X,2003-2007,2005,Pune (Poona),Male,30-34,7,6,Base of tongue,5,953709,0.5243
X,2003-2007,2005,Pune (Poona),Male,35-39,8,6,Base of tongue,1,799027,0.1252
X,2003-2007,2005,Pune (Poona),Male,40-44,9,6,Base of tongue,0,690338,0.0
X,2003-2007,2005,Pune (Poona),Male,45-49,10,6,Base of tongue,3,548984,0.5465
X,2003-2007,2005,Pune (Poona),Male,50-54,11,6,Base of tongue,3,458670,0.6541
X,2003-2007,2005,Pune (Poona),Male,55-59,12,6,Base of tongue,4,295689,1.3528
X,2003-2007,2005,Pune (Poona),Male,60-64,13,6,Base of tongue,0,236778,0.0
X,2003-2007,2005,Pune (Poona),Male,65-69,14,6,Base of tongue,6,178871,3.3544
X,2003-2007,2005,Pune (Poona),Male,70-74,15,6,Base of tongue,2,125967,1.5877
X,2003-2007,2005,Pune (Poona),Male,75-79,16,6,Base of tongue,2,130948,1.5273
X,2003-2007,2005,Pune (Poona),Male,80-84,17,6,Base of tongue,1,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,6,Base of tongue,1,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,7,"Tongue, other and unspecified parts",0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,7,"Tongue, other and unspecified parts",1,912393,0.1096
X,2003-2007,2005,Pune (Poona),Male,10-14,3,7,"Tongue, other and unspecified parts",0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,7,"Tongue, other and unspecified parts",1,1124183,0.089
X,2003-2007,2005,Pune (Poona),Male,20-24,5,7,"Tongue, other and unspecified parts",2,1258508,0.1589
X,2003-2007,2005,Pune (Poona),Male,25-29,6,7,"Tongue, other and unspecified parts",9,1130162,0.7963
X,2003-2007,2005,Pune (Poona),Male,30-34,7,7,"Tongue, other and unspecified parts",14,953709,1.468
X,2003-2007,2005,Pune (Poona),Male,35-39,8,7,"Tongue, other and unspecified parts",14,799027,1.7521
X,2003-2007,2005,Pune (Poona),Male,40-44,9,7,"Tongue, other and unspecified parts",18,690338,2.6074
X,2003-2007,2005,Pune (Poona),Male,45-49,10,7,"Tongue, other and unspecified parts",20,548984,3.6431
X,2003-2007,2005,Pune (Poona),Male,50-54,11,7,"Tongue, other and unspecified parts",28,458670,6.1046
X,2003-2007,2005,Pune (Poona),Male,55-59,12,7,"Tongue, other and unspecified parts",31,295689,10.484
X,2003-2007,2005,Pune (Poona),Male,60-64,13,7,"Tongue, other and unspecified parts",30,236778,12.6701
X,2003-2007,2005,Pune (Poona),Male,65-69,14,7,"Tongue, other and unspecified parts",20,178871,11.1812
X,2003-2007,2005,Pune (Poona),Male,70-74,15,7,"Tongue, other and unspecified parts",12,125967,9.5263
X,2003-2007,2005,Pune (Poona),Male,75-79,16,7,"Tongue, other and unspecified parts",4,130948,3.0546
X,2003-2007,2005,Pune (Poona),Male,80-84,17,7,"Tongue, other and unspecified parts",5,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,7,"Tongue, other and unspecified parts",4,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,8,Mouth,0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,8,Mouth,1,912393,0.1096
X,2003-2007,2005,Pune (Poona),Male,10-14,3,8,Mouth,2,1103733,0.1812
X,2003-2007,2005,Pune (Poona),Male,15-19,4,8,Mouth,1,1124183,0.089
X,2003-2007,2005,Pune (Poona),Male,20-24,5,8,Mouth,5,1258508,0.3973
X,2003-2007,2005,Pune (Poona),Male,25-29,6,8,Mouth,3,1130162,0.2654
X,2003-2007,2005,Pune (Poona),Male,30-34,7,8,Mouth,12,953709,1.2582
X,2003-2007,2005,Pune (Poona),Male,35-39,8,8,Mouth,24,799027,3.0037
X,2003-2007,2005,Pune (Poona),Male,40-44,9,8,Mouth,58,690338,8.4017
X,2003-2007,2005,Pune (Poona),Male,45-49,10,8,Mouth,52,548984,9.472
X,2003-2007,2005,Pune (Poona),Male,50-54,11,8,Mouth,97,458670,21.1481
X,2003-2007,2005,Pune (Poona),Male,55-59,12,8,Mouth,85,295689,28.7464
X,2003-2007,2005,Pune (Poona),Male,60-64,13,8,Mouth,78,236778,32.9422
X,2003-2007,2005,Pune (Poona),Male,65-69,14,8,Mouth,66,178871,36.8981
X,2003-2007,2005,Pune (Poona),Male,70-74,15,8,Mouth,44,125967,34.9298
X,2003-2007,2005,Pune (Poona),Male,75-79,16,8,Mouth,17,130948,12.9823
X,2003-2007,2005,Pune (Poona),Male,80-84,17,8,Mouth,8,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,8,Mouth,12,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,9,"Mouth, gum",0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,9,"Mouth, gum",0,912393,0.0
X,2003-2007,2005,Pune (Poona),Male,10-14,3,9,"Mouth, gum",0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,9,"Mouth, gum",0,1124183,0.0
X,2003-2007,2005,Pune (Poona),Male,20-24,5,9,"Mouth, gum",1,1258508,0.0795
X,2003-2007,2005,Pune (Poona),Male,25-29,6,9,"Mouth, gum",0,1130162,0.0
X,2003-2007,2005,Pune (Poona),Male,30-34,7,9,"Mouth, gum",2,953709,0.2097
X,2003-2007,2005,Pune (Poona),Male,35-39,8,9,"Mouth, gum",6,799027,0.7509
X,2003-2007,2005,Pune (Poona),Male,40-44,9,9,"Mouth, gum",12,690338,1.7383
X,2003-2007,2005,Pune (Poona),Male,45-49,10,9,"Mouth, gum",17,548984,3.0966
X,2003-2007,2005,Pune (Poona),Male,50-54,11,9,"Mouth, gum",35,458670,7.6308
X,2003-2007,2005,Pune (Poona),Male,55-59,12,9,"Mouth, gum",26,295689,8.793
X,2003-2007,2005,Pune (Poona),Male,60-64,13,9,"Mouth, gum",24,236778,10.1361
X,2003-2007,2005,Pune (Poona),Male,65-69,14,9,"Mouth, gum",21,178871,11.7403
X,2003-2007,2005,Pune (Poona),Male,70-74,15,9,"Mouth, gum",20,125967,15.8772
X,2003-2007,2005,Pune (Poona),Male,75-79,16,9,"Mouth, gum",6,130948,4.582
X,2003-2007,2005,Pune (Poona),Male,80-84,17,9,"Mouth, gum",3,0,
X,2003-2007,2005,Pune (Poona),Male,85+,18,9,"Mouth, gum",6,0,
X,2003-2007,2005,Pune (Poona),Male,0-4,1,10,"Mouth, floor of",0,951909,0.0
X,2003-2007,2005,Pune (Poona),Male,5-9,2,10,"Mouth, floor of",0,912393,0.0
X,2003-2007,2005,Pune (Poona),Male,10-14,3,10,"Mouth, floor of",0,1103733,0.0
X,2003-2007,2005,Pune (Poona),Male,15-19,4,10,"Mouth, floor of",0,1124183,0.0
