Period,Year_Midpoint,Volume,Sex,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Crude_Rate_per_100k
1993-1997,1995,VIII,Female,0-4,1,25,643220,3.8867
1993-1997,1995,VIII,Female,5-9,2,37,725190,5.1021
1993-1997,1995,VIII,Female,10-14,3,48,608940,7.8826
1993-1997,1995,VIII,Female,15-19,4,50,598555,8.3535
1993-1997,1995,VIII,Female,20-24,5,61,704920,8.6535
1993-1997,1995,VIII,Female,25-29,6,136,637700,21.3266
1993-1997,1995,VIII,Female,30-34,7,228,556745,40.9523
1993-1997,1995,VIII,Female,35-39,8,339,530755,63.8713
1993-1997,1995,VIII,Female,40-44,9,475,364390,130.3548
1993-1997,1995,VIII,Female,45-49,10,563,242000,232.6446
1993-1997,1995,VIII,Female,50-54,11,580,177085,327.5263
1993-1997,1995,VIII,Female,55-59,12,459,147355,311.4927
1993-1997,1995,VIII,Female,60-64,13,588,156375,376.0192
1993-1997,1995,VIII,Female,65-69,14,497,91160,545.1953
1993-1997,1995,VIII,Female,70-74,15,363,65790,551.7556
1993-1997,1995,VIII,Female,75-79,16,200,33340,599.88
1993-1997,1995,VIII,Male,0-4,1,55,654595,8.4021
1993-1997,1995,VIII,Male,5-9,2,56,797660,7.0205
1993-1997,1995,VIII,Male,10-14,3,51,615965,8.2797
1993-1997,1995,VIII,Male,15-19,4,66,665315,9.9201
1993-1997,1995,VIII,Male,20-24,5,103,721845,14.269
1993-1997,1995,VIII,Male,25-29,6,105,658605,15.9428
1993-1997,1995,VIII,Male,30-34,7,149,603600,24.6852
1993-1997,1995,VIII,Male,35-39,8,184,576945,31.8921
1993-1997,1995,VIII,Male,40-44,9,293,483375,60.6155
1993-1997,1995,VIII,Male,45-49,10,332,355980,93.2637
1993-1997,1995,VIII,Male,50-54,11,475,243975,194.6921
1993-1997,1995,VIII,Male,55-59,12,488,145090,336.343
1993-1997,1995,VIII,Male,60-64,13,580,160220,362.0022
1993-1997,1995,VIII,Male,65-69,14,470,86120,545.7501
1993-1997,1995,VIII,Male,70-74,15,481,67385,713.8087
1993-1997,1995,VIII,Male,75-79,16,258,29310,880.2456
1998-2002,2000,IX,Female,0-4,1,43,756655,5.6829
1998-2002,2000,IX,Female,5-9,2,29,778730,3.724
1998-2002,2000,IX,Female,10-14,3,37,870590,4.25
1998-2002,2000,IX,Female,15-19,4,59,798260,7.3911
1998-2002,2000,IX,Female,20-24,5,77,912800,8.4356
1998-2002,2000,IX,Female,25-29,6,137,880815,15.5538
1998-2002,2000,IX,Female,30-34,7,251,713015,35.2026
1998-2002,2000,IX,Female,35-39,8,370,654240,56.5542
1998-2002,2000,IX,Female,40-44,9,582,485225,119.9444
1998-2002,2000,IX,Female,45-49,10,719,419695,171.3149
1998-2002,2000,IX,Female,50-54,11,839,311145,269.6492
1998-2002,2000,IX,Female,55-59,12,659,226335,291.1613
1998-2002,2000,IX,Female,60-64,13,787,209555,375.5577
1998-2002,2000,IX,Female,65-69,14,750,168525,445.0378
1998-2002,2000,IX,Female,70-74,15,546,111500,489.6861
1998-2002,2000,IX,Female,75-79,16,333,56570,588.6512
1998-2002,2000,IX,Male,0-4,1,52,837385,6.2098
1998-2002,2000,IX,Male,5-9,2,53,846900,6.2581
1998-2002,2000,IX,Male,10-14,3,70,946070,7.399
1998-2002,2000,IX,Male,15-19,4,79,950555,8.3109
1998-2002,2000,IX,Male,20-24,5,117,1059265,11.0454
1998-2002,2000,IX,Male,25-29,6,127,954795,13.3013
1998-2002,2000,IX,Male,30-34,7,181,813295,22.2551
1998-2002,2000,IX,Male,35-39,8,215,689670,31.1743
1998-2002,2000,IX,Male,40-44,9,367,589150,62.2931
1998-2002,2000,IX,Male,45-49,10,431,463275,93.0333
1998-2002,2000,IX,Male,50-54,11,621,379430,163.6666
