Period,Sex,Age_Band,Age_Band_Sort,Total_Cases,Total_Population,Crude_Rate_per_100k,Population_Pct
1993-1997,Female,0-14,1,110,1977350,5.563,31.4688
1993-1997,Female,15-29,2,247,1941175,12.7243,30.8931
1993-1997,Female,30-44,3,1042,1451890,71.7685,23.1063
1993-1997,Female,45-59,4,1602,566440,282.819,9.0147
1993-1997,Female,60-74,5,1448,313325,462.14,4.9865
1993-1997,Female,75-79,6,200,33340,599.88,0.5306
1993-1997,Male,0-14,1,162,2068220,7.8328,30.1227
1993-1997,Male,15-29,2,274,2045765,13.3935,29.7957
1993-1997,Male,30-44,3,626,1663920,37.622,24.2343
1993-1997,Male,45-59,4,1295,745045,173.815,10.8512
1993-1997,Male,60-74,5,1531,313725,488.007,4.5693
1993-1997,Male,75-79,6,258,29310,880.2456,0.4269
1998-2002,Female,0-14,1,109,2405975,4.5304,28.8015
1998-2002,Female,15-29,2,273,2591875,10.5329,31.0268
1998-2002,Female,30-44,3,1203,1852480,64.94,22.1757
1998-2002,Female,45-59,4,2217,957175,231.6191,11.4582
1998-2002,Female,60-74,5,2083,489580,425.4667,5.8607
1998-2002,Female,75-79,6,333,56570,588.6512,0.6772
1998-2002,Male,0-14,1,175,2630355,6.6531,28.3176
1998-2002,Male,15-29,2,323,2964615,10.8952,31.9161
1998-2002,Male,30-44,3,763,2092115,36.4703,22.523
1998-2002,Male,45-59,4,1610,1089920,147.7173,11.7337
1998-2002,Male,60-74,5,1979,457140,432.909,4.9214
1998-2002,Male,75-79,6,392,54630,717.5545,0.5881
2003-2007,Female,0-14,1,130,2689778,4.8331,27.4253
2003-2007,Female,15-29,2,264,3028357,8.7176,30.8775
2003-2007,Female,30-44,3,1184,2195254,53.9345,22.3831
2003-2007,Female,45-59,4,2298,1160918,197.9468,11.8369
2003-2007,Female,60-74,5,2167,591950,366.0782,6.0356
2003-2007,Female,75-79,6,362,141402,256.0077,1.4418
2003-2007,Male,0-14,1,163,2968035,5.4918,27.23
2003-2007,Male,15-29,2,277,3512853,7.8853,32.2284
2003-2007,Male,30-44,3,782,2443074,32.0089,22.4138
2003-2007,Male,45-59,4,1664,1303343,127.6717,11.9574
2003-2007,Male,60-74,5,2262,541616,417.6391,4.969
2003-2007,Male,75-79,6,487,130948,371.9034,1.2014
2008-2011,Female,0-14,1,75,2685128,2.7932,25.5335
2008-2011,Female,15-29,2,229,3250613,7.0448,30.9108
2008-2011,Female,30-44,3,1062,2344364,45.3001,22.2931
2008-2011,Female,45-59,4,2275,1372353,165.7737,13.05
2008-2011,Female,60-74,5,2060,676907,304.3254,6.4369
2008-2011,Female,75-79,6,367,186746,196.5236,1.7758
2008-2011,Male,0-14,1,119,3052649,3.8983,25.8117
2008-2011,Male,15-29,2,252,3978910,6.3334,33.6437
2008-2011,Male,30-44,3,760,2557875,29.7122,21.6281
2008-2011,Male,45-59,4,1538,1479678,103.9415,12.5114
2008-2011,Male,60-74,5,2163,584947,369.7771,4.946
2008-2011,Male,75-79,6,462,172552,267.7454,1.459
2013-2017,Female,0-14,1,155,2945315,5.2626,21.9796
2013-2017,Female,15-29,2,356,4188030,8.5004,31.2534
2013-2017,Female,30-44,3,1814,3238141,56.0198,24.1648
2013-2017,Female,45-59,4,4029,1860622,216.5405,13.885
2013-2017,Female,60-74,5,4087,906761,450.7252,6.7668
2013-2017,Female,75-79,6,621,261372,237.5924,1.9505
2013-2017,Male,0-14,1,221,3341375,6.614,22.5997
2013-2017,Male,15-29,2,380,4619099,8.2267,31.2417
2013-2017,Male,30-44,3,1256,3695116,33.9908,24.9923
2013-2017,Male,45-59,4,2663,1938432,137.3791,13.1108
2013-2017,Male,60-74,5,4120,953302,432.182,6.4478
2013-2017,Male,75-79,6,843,237704,354.6427,1.6077
