Volume,Period,Year_Midpoint,Registry,Sex,Age_Group,Age_Group_Sort,Cancer_Code,Cancer_Label,Cases,Population,Rate_per_100k
VIII,1993-1997,1995,Pune (Poona),Female,0-4,1,221,Adrenal gland,1,643220,0.1555
VIII,1993-1997,1995,Pune (Poona),Female,5-9,2,221,Adrenal gland,1,725190,0.1379
VIII,1993-1997,1995,Pune (Poona),Female,10-14,3,221,Adrenal gland,0,608940,0.0
VIII,1993-1997,1995,Pune (Poona),Female,15-19,4,221,Adrenal gland,0,598555,0.0
VIII,1993-1997,1995,Pune (Poona),Female,20-24,5,221,Adrenal gland,0,704920,0.0
VIII,1993-1997,1995,Pune (Poona),Female,25-29,6,221,Adrenal gland,1,637700,0.1568
VIII,1993-1997,1995,Pune (Poona),Female,30-34,7,221,Adrenal gland,0,556745,0.0
VIII,1993-1997,1995,Pune (Poona),Female,35-39,8,221,Adrenal gland,0,530755,0.0
VIII,1993-1997,1995,Pune (Poona),Female,40-44,9,221,Adrenal gland,0,364390,0.0
VIII,1993-1997,1995,Pune (Poona),Female,45-49,10,221,Adrenal gland,0,242000,0.0
VIII,1993-1997,1995,Pune (Poona),Female,50-54,11,221,Adrenal gland,0,177085,0.0
VIII,1993-1997,1995,Pune (Poona),Female,55-59,12,221,Adrenal gland,0,147355,0.0
VIII,1993-1997,1995,Pune (Poona),Female,60-64,13,221,Adrenal gland,0,156375,0.0
VIII,1993-1997,1995,Pune (Poona),Female,65-69,14,221,Adrenal gland,0,91160,0.0
VIII,1993-1997,1995,Pune (Poona),Female,70-74,15,221,Adrenal gland,1,65790,1.52
VIII,1993-1997,1995,Pune (Poona),Female,75-79,16,221,Adrenal gland,0,33340,0.0
IX,1998-2002,2000,Pune (Poona),Female,0-4,1,210,Adrenal gland,0,756655,0.0
IX,1998-2002,2000,Pune (Poona),Female,5-9,2,210,Adrenal gland,0,778730,0.0
IX,1998-2002,2000,Pune (Poona),Female,10-14,3,210,Adrenal gland,0,870590,0.0
IX,1998-2002,2000,Pune (Poona),Female,15-19,4,210,Adrenal gland,0,798260,0.0
IX,1998-2002,2000,Pune (Poona),Female,20-24,5,210,Adrenal gland,0,912800,0.0
IX,1998-2002,2000,Pune (Poona),Female,25-29,6,210,Adrenal gland,0,880815,0.0
IX,1998-2002,2000,Pune (Poona),Female,30-34,7,210,Adrenal gland,0,713015,0.0
IX,1998-2002,2000,Pune (Poona),Female,35-39,8,210,Adrenal gland,0,654240,0.0
IX,1998-2002,2000,Pune (Poona),Female,40-44,9,210,Adrenal gland,0,485225,0.0
IX,1998-2002,2000,Pune (Poona),Female,45-49,10,210,Adrenal gland,0,419695,0.0
IX,1998-2002,2000,Pune (Poona),Female,50-54,11,210,Adrenal gland,0,311145,0.0
IX,1998-2002,2000,Pune (Poona),Female,55-59,12,210,Adrenal gland,0,226335,0.0
IX,1998-2002,2000,Pune (Poona),Female,60-64,13,210,Adrenal gland,0,209555,0.0
IX,1998-2002,2000,Pune (Poona),Female,65-69,14,210,Adrenal gland,0,168525,0.0
IX,1998-2002,2000,Pune (Poona),Female,70-74,15,210,Adrenal gland,2,111500,1.7937
IX,1998-2002,2000,Pune (Poona),Female,75-79,16,210,Adrenal gland,0,56570,0.0
X,2003-2007,2005,Pune (Poona),Female,0-4,1,210,Adrenal gland,0,841379,0.0
X,2003-2007,2005,Pune (Poona),Female,5-9,2,210,Adrenal gland,1,842661,0.1187
X,2003-2007,2005,Pune (Poona),Female,10-14,3,210,Adrenal gland,0,1005738,0.0
X,2003-2007,2005,Pune (Poona),Female,15-19,4,210,Adrenal gland,0,930824,0.0
X,2003-2007,2005,Pune (Poona),Female,20-24,5,210,Adrenal gland,0,1062940,0.0
X,2003-2007,2005,Pune (Poona),Female,25-29,6,210,Adrenal gland,0,1034593,0.0
X,2003-2007,2005,Pune (Poona),Female,30-34,7,210,Adrenal gland,0,842246,0.0
X,2003-2007,2005,Pune (Poona),Female,35-39,8,210,Adrenal gland,0,773050,0.0
X,2003-2007,2005,Pune (Poona),Female,40-44,9,210,Adrenal gland,0,579958,0.0
X,2003-2007,2005,Pune (Poona),Female,45-49,10,210,Adrenal gland,0,513620,0.0
X,2003-2007,2005,Pune (Poona),Female,50-54,11,210,Adrenal gland,0,377656,0.0
X,2003-2007,2005,Pune (Poona),Female,55-59,12,210,Adrenal gland,0,269642,0.0
X,2003-2007,2005,Pune (Poona),Female,60-64,13,210,Adrenal gland,0,244715,0.0
X,2003-2007,2005,Pune (Poona),Female,65-69,14,210,Adrenal gland,0,210595,0.0
X,2003-2007,2005,Pune (Poona),Female,70-74,15,210,Adrenal gland,0,136640,0.0
X,2003-2007,2005,Pune (Poona),Female,75-79,16,210,Adrenal gland,0,141402,0.0
XI,2008-2011,2010,Pune (Poona),Female,0-4,1,50,Adrenal gland,1,829911,0.1205
XI,2008-2011,2010,Pune (Poona),Female,5-9,2,50,Adrenal gland,0,761063,0.0
XI,2008-2011,2010,Pune (Poona),Female,10-14,3,50,Adrenal gland,0,1094154,0.0
XI,2008-2011,2010,Pune (Poona),Female,15-19,4,50,Adrenal gland,0,1006524,0.0
XI,2008-2011,2010,Pune (Poona),Female,20-24,5,50,Adrenal gland,0,1128163,0.0
XI,2008-2011,2010,Pune (Poona),Female,25-29,6,50,Adrenal gland,1,1115926,0.0896
XI,2008-2011,2010,Pune (Poona),Female,30-34,7,50,Adrenal gland,0,901495,0.0
XI,2008-2011,2010,Pune (Poona),Female,35-39,8,50,Adrenal gland,0,804982,0.0
XI,2008-2011,2010,Pune (Poona),Female,40-44,9,50,Adrenal gland,0,637887,0.0
