Cancer_Label,Period,Year_Midpoint,Sex,Total_Cases,Total_Population,Crude_Rate_per_100k,Rank
Breast,1993-1997,1995,Female,1099,6283520,17.490196577714404,1
Breast,1998-2002,2000,Female,1537,8353655,18.399131877004734,1
Breast,2003-2007,2005,Female,1720,9807659,17.537314460056166,1
Breast,2008-2011,2010,Female,1861,10516111,17.696656111750816,1
Breast,2013-2017,2015,Female,3680,13400241,27.462192657579813,1
Cervix uteri,1993-1997,1995,Female,968,6283520,15.405377877368098,2
Cervix uteri,1998-2002,2000,Female,1102,8353655,13.191830402380754,2
Cervix uteri,2003-2007,2005,Female,991,9807659,10.10434804064864,2
Cervix uteri,2008-2011,2010,Female,855,10516111,8.130382039520123,2
Cervix uteri,2013-2017,2015,Female,1144,13400241,8.537159891378073,2
Ovary,1993-1997,1995,Female,275,6283520,4.3765278060704835,3
Ovary,1998-2002,2000,Female,428,8353655,5.123505818710493,3
Ovary,2003-2007,2005,Female,417,9807659,4.251779145257803,3
Ovary,2008-2011,2010,Female,376,10516111,3.5754662536369195,3
Ovary,2013-2017,2015,Female,759,13400241,5.664077235625837,3
Mouth,1993-1997,1995,Female,198,6283520,3.1511000203707478,4
Mouth,1998-2002,2000,Female,303,8353655,3.627154820255326,4
Mouth,2003-2007,2005,Female,287,9807659,2.9262844476954184,4
Mouth,2008-2011,2010,Female,289,10516111,2.7481642215453985,4
Mouth,2013-2017,2015,Female,374,13400241,2.7909945798736007,4
Oesophagus,1993-1997,1995,Female,227,6283520,3.6126247708290897,5
Oesophagus,1998-2002,2000,Female,266,8353655,3.1842349247125963,5
Oesophagus,2003-2007,2005,Female,248,9807659,2.528636038426703,5
Oesophagus,2008-2011,2010,Female,202,10516111,1.920862189453877,5
Oesophagus,2013-2017,2015,Female,293,13400241,2.1865278393127405,5
Corpus uteri,1993-1997,1995,Female,91,6283520,1.4482328376451414,6
Corpus uteri,1998-2002,2000,Female,115,8353655,1.3766429185787539,6
Corpus uteri,2003-2007,2005,Female,157,9807659,1.600789750133034,6
Corpus uteri,2008-2011,2010,Female,217,10516111,2.063500470848967,6
Corpus uteri,2013-2017,2015,Female,484,13400241,3.6118753386599542,6
Colon,1993-1997,1995,Female,91,6283520,1.4482328376451414,7
Colon,1998-2002,2000,Female,133,8353655,1.5921174623562981,7
Colon,2003-2007,2005,Female,142,9807659,1.4478480542604508,7
Colon,2008-2011,2010,Female,126,10516111,1.198161563718755,7
Colon,2013-2017,2015,Female,281,13400241,2.096977211081502,7
Rectum,1993-1997,1995,Female,65,6283520,1.0344520268893869,8
Rectum,1998-2002,2000,Female,124,8353655,1.4843801904675258,8
Rectum,2003-2007,2005,Female,122,9807659,1.2439257930970071,8
Rectum,2008-2011,2010,Female,132,10516111,1.255216876276791,8
Rectum,2013-2017,2015,Female,266,13400241,1.985038925792454,8
Stomach,1993-1997,1995,Female,101,6283520,1.6073793033204318,9
Stomach,1998-2002,2000,Female,137,8353655,1.6400006943068632,9
Stomach,2003-2007,2005,Female,113,9807659,1.1521607755734575,9
Stomach,2008-2011,2010,Female,122,10516111,1.1601246886800642,9
Stomach,2013-2017,2015,Female,182,13400241,1.3581845281737843,9
Tongue,1993-1997,1995,Female,68,6283520,1.082195966591974,10
Tongue,1998-2002,2000,Female,121,8353655,1.448467766504602,10
Tongue,2003-2007,2005,Female,124,9807659,1.2643180192133514,10
Tongue,2008-2011,2010,Female,114,10516111,1.084050938602683,10
Tongue,2013-2017,2015,Female,215,13400241,1.6044487558096903,10
Mouth,1993-1997,1995,Male,338,6865985,4.922818794390025,1
Mouth,1998-2002,2000,Male,437,9288775,4.704603136581519,1
Mouth,2003-2007,2005,Male,545,10899869,5.000060092465332,1
Mouth,2008-2011,2010,Male,572,11826611,4.8365503862433625,1
Mouth,2013-2017,2015,Male,1057,14785028,7.14912410040752,1
Prostate,1993-1997,1995,Male,175,6865985,2.548796713071759,2
Prostate,1998-2002,2000,Male,257,9288775,2.7667803343282618,2
Prostate,2003-2007,2005,Male,337,10899869,3.0917802773592964,2
Prostate,2008-2011,2010,Male,362,11826611,3.060893775909261,2
Prostate,2013-2017,2015,Male,755,14785028,5.1065172145768,2
Oesophagus,1993-1997,1995,Male,288,6865985,4.1945911620838086,3
Oesophagus,1998-2002,2000,Male,356,9288775,3.832582875567553,3
Oesophagus,2003-2007,2005,Male,322,10899869,2.9541639445391503,3
Oesophagus,2008-2011,2010,Male,274,11826611,2.3168091011025895,3
Oesophagus,2013-2017,2015,Male,363,14785028,2.4551864223726865,3
Larynx,1993-1997,1995,Male,291,6865985,4.238284820022182,4
Larynx,1998-2002,2000,Male,345,9288775,3.7141603709854096,4
Larynx,2003-2007,2005,Male,281,10899869,2.578012634830749,4
Larynx,2008-2011,2010,Male,302,11826611,2.553563315813803,4
Larynx,2013-2017,2015,Male,364,14785028,2.461950021332391,4
Tongue,1993-1997,1995,Male,149,6865985,2.170118344272526,5
Tongue,1998-2002,2000,Male,194,9288775,2.088542353539622,5
Tongue,2003-2007,2005,Male,230,10899869,2.11011710324225,5
Tongue,2008-2011,2010,Male,306,11826611,2.5873853464868337,5
Tongue,2013-2017,2015,Male,561,14785028,3.794379016394152,5
Stomach,1993-1997,1995,Male,236,6865985,3.437234424485343,6
Stomach,1998-2002,2000,Male,252,9288775,2.7129519231545602,6
Stomach,2003-2007,2005,Male,261,10899869,2.3945241910705533,6
Stomach,2008-2011,2010,Male,222,11826611,1.8771227023531931,6
Stomach,2013-2017,2015,Male,372,14785028,2.516058813010026,6
Liver,1993-1997,1995,Male,147,6865985,2.1409892389802776,7
Liver,1998-2002,2000,Male,193,9288775,2.0777766713048815,7
Liver,2003-2007,2005,Male,277,10899869,2.54131494607871,7
Liver,2008-2011,2010,Male,220,11826611,1.8602116870166778,7
Liver,2013-2017,2015,Male,388,14785028,2.6242763963652957,7
Colon,1993-1997,1995,Male,122,6865985,1.7768754228271688,8
Colon,1998-2002,2000,Male,134,9288775,1.4426014194552026,8
Colon,2003-2007,2005,Male,203,10899869,1.8624077041659859,8
Colon,2008-2011,2010,Male,209,11826611,1.767201102665844,8
Colon,2013-2017,2015,Male,395,14785028,2.6716215890832267,8
Rectum,1993-1997,1995,Male,82,6865985,1.1942933169821954,9
Rectum,1998-2002,2000,Male,130,9288775,1.3995386905162415,9
Rectum,2003-2007,2005,Male,169,10899869,1.5504773497736533,9
