Cancer_Label,Sex,Period,Age_Group,Age_Group_Sort,Total_Cases,Total_Population,Rate_per_100k
Bladder,Male,1993-1997,0-4,1,0,654595,0.0
Bladder,Male,1993-1997,5-9,2,0,797660,0.0
Bladder,Male,1993-1997,10-14,3,1,615965,0.16234688659258237
Bladder,Male,1993-1997,15-19,4,0,665315,0.0
Bladder,Male,1993-1997,20-24,5,2,721845,0.2770677915619004
Bladder,Male,1993-1997,25-29,6,1,658605,0.15183607777043903
Bladder,Male,1993-1997,30-34,7,2,603600,0.3313452617627568
Bladder,Male,1993-1997,35-39,8,7,576945,1.2132872284186533
Bladder,Male,1993-1997,40-44,9,4,483375,0.8275148694078097
Bladder,Male,1993-1997,45-49,10,9,355980,2.5282319231417496
Bladder,Male,1993-1997,50-54,11,12,243975,4.918536735321243
Bladder,Male,1993-1997,55-59,12,14,145090,9.649183265559309
Bladder,Male,1993-1997,60-64,13,25,160220,15.603545125452502
Bladder,Male,1993-1997,65-69,14,15,86120,17.417556897352533
Bladder,Male,1993-1997,70-74,15,23,67385,34.132225272686796
Bladder,Male,1993-1997,75-79,16,9,29310,30.706243602865918
Bladder,Male,1998-2002,0-4,1,0,837385,0.0
Bladder,Male,1998-2002,5-9,2,0,846900,0.0
Bladder,Male,1998-2002,10-14,3,0,946070,0.0
Bladder,Male,1998-2002,15-19,4,0,950555,0.0
Bladder,Male,1998-2002,20-24,5,0,1059265,0.0
Bladder,Male,1998-2002,25-29,6,0,954795,0.0
Bladder,Male,1998-2002,30-34,7,6,813295,0.7377396885508949
Bladder,Male,1998-2002,35-39,8,5,689670,0.724984412835124
Bladder,Male,1998-2002,40-44,9,8,589150,1.3578884834083
Bladder,Male,1998-2002,45-49,10,10,463275,2.1585451405752525
Bladder,Male,1998-2002,50-54,11,16,379430,4.216851593179243
Bladder,Male,1998-2002,55-59,12,15,247215,6.067592985862508
Bladder,Male,1998-2002,60-64,13,23,205510,11.19166950513357
Bladder,Male,1998-2002,65-69,14,26,147085,17.676853520073426
Bladder,Male,1998-2002,70-74,15,26,104545,24.869673346405854
Bladder,Male,1998-2002,75-79,16,14,54630,25.626944902068463
Bladder,Male,2003-2007,0-4,1,1,951909,0.10505205854761326
Bladder,Male,2003-2007,5-9,2,0,912393,0.0
Bladder,Male,2003-2007,10-14,3,0,1103733,0.0
Bladder,Male,2003-2007,15-19,4,0,1124183,0.0
Bladder,Male,2003-2007,20-24,5,0,1258508,0.0
Bladder,Male,2003-2007,25-29,6,1,1130162,0.08848289006354841
Bladder,Male,2003-2007,30-34,7,4,953709,0.4194151465488949
Bladder,Male,2003-2007,35-39,8,4,799027,0.5006088655327041
Bladder,Male,2003-2007,40-44,9,7,690338,1.0139960425183026
Bladder,Male,2003-2007,45-49,10,17,548984,3.096629409964589
Bladder,Male,2003-2007,50-54,11,15,458670,3.270325070311989
Bladder,Male,2003-2007,55-59,12,17,295689,5.749283875964273
Bladder,Male,2003-2007,60-64,13,33,236778,13.937105643260775
Bladder,Male,2003-2007,65-69,14,35,178871,19.567174108715218
Bladder,Male,2003-2007,70-74,15,48,125967,38.105218033294435
Bladder,Male,2003-2007,75-79,16,30,130948,22.90985734795491
Bladder,Male,2008-2011,0-4,1,0,998887,0.0
Bladder,Male,2008-2011,5-9,2,0,807911,0.0
Bladder,Male,2008-2011,10-14,3,0,1245851,0.0
Bladder,Male,2008-2011,15-19,4,1,1270231,0.07872583805622757
